Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
"RedHill Biopharma
",Treatment,Other,Clinical,Preliminary data from individual patient expanded access released in April 2020,"Yeliva (opaganib, ABC294640), oral sphingosine kinase-2 (SK2) selective inhibitor
","NCT04435106, NCT04414618",Unknown,"RedHill Biopharma (https://www.redhillbio.com/RedHill/Templates/showpage.asp?DBID=1&LNGID=1&TMID=178&FID=2432&PID=0&IID=15258), RedHill Biopharma (https://www.redhillbio.com/RedHill/Templates/showpage.asp?DBID=1&LNGID=1&TMID=178&FID=2432&PID=0&IID=15257), RedHill Biopharma (https://www.redhillbio.com/RedHill/Templates/showpage.asp?DBID=1&LNGID=1&TMID=178&FID=2432&PID=0&IID=15261), medRxiv (https://doi.org/10.1101/2020.06.20.20099010)","Various oncology indications
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/25/2020
Moleculin Biotech / University of Texas Medical Branch,Treatment,Other,Pre-clinical,Unknown,"WP1122, glucose decoy prodrug (and related drug candidates)",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Swedish Orphan Biovitrum / REMAP-CAP global trial,Treatment,Other,Clinical,Unknown,"Kineret (anakinra), interleukin-1 receptor antagonist","NCT04324021, NCT02735707, NCT04339712, NCT04330638, NCT04366232, NCT04443881",Unknown,"medRxiv (https://doi.org/10.1101/2020.04.23.20076612), Lancet (https://www.thelancet.com/journals/lanrhe/article/PIIS2665-9913(20)30164-8/fulltext), medRxiv (https://doi.org/10.1101/2020.06.15.20132407)",,"FDA-approved since 2001, approved to treat rheumatoid arthritis and cryopyrin-associated periodic syndromes",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Persephone Biosciences,Treatment,Other,Pre-clinical,Clinical trials to start in 2020,Microbiome therapeutic,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/30/2020
Silkim Pharma,Treatment,Other,Pre-clinical,Unknown,"Coronzot, a novel family of drugs, sequestration of the labile iron",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/1/2020
BerGenBio; ACCORD study,Treatment,Other,Clinical,"ACCORD trial started June 2020, top line data expected summer 2020 ","bemcentinib, selective AXL kinase inhibitor",,UK Government (ACCORD study),,Various cancers ,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
NanoViricides/ TheraCour Pharma Inc.,Treatment,Other,Pre-clinical,Unknown,A number of synthesized nanoviricide drug candidates,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
"Numerous trials with global research sponsors including World Health Organization SOLIDARITY trial; ORCHID trial with National Heart, Lung, and Blood Institute (NHLBI); REMAP-CAP global trial; Novartis; PRINCIPLE trial",Treatment,Other,Clinical,"Prevention studies continue in Asia; NIH study stopped in June 2020; Novartis discontinues trial due to feasibility of recruitment in June 2020; WHO discontinues hydroxychloquine arm in the SOLIDARITY trial July 2020; FDA revoked the March 28, 2020 Emergency Use Authorization on June 15, 2020; RECOVERY trial prelim results released June 2020, trial arm stopped; Univ. of Minnesota trial results released June 2020 ","Chloroquine/ Hydroxychloroquine, antimalarial","Over 50 trials registered at Clinicaltrials.gov, including: NCT04261517, NCT04303507, NCT04303299, NCT04304053, NCT04307693, NCT04316377, NCT04315948, NCT04321993, ECT2020-001113-21, NCT04323527, NCT04333732, NCT04332991, NCT04345419, NCT04341870, NCT04345289, NCT02735707, NCT04351347, NCT04341493, NCT04332094, NCT04349410, NCT04286503, NCT04328012, NCT04346147",COVID-19 Treatment Accelerator (University of Washington/NYU trial and Mahidol Oxford Tropical Medicine Research Unit trial); UK Government (University of Oxford RECOVERY trial and PRINCIPLE trial); Life Arc (PIONEER trial),"NCT04261517 (https://clinicaltrials.gov/ct2/show/NCT04261517?draw=5+%28prelim+outcomes%3F%29), IHU-Méditerranée Infection (https://www.mediterranee-infection.com/wp-content/uploads/2020/03/Hydroxychloroquine_final_DOI_IJAA.pdf), Journal of ZheJiang University (Medical Sciences) (http://www.zjujournals.com/med/CN/10.3785/j.issn.1008-9292.2020.03.03), medRxiv (https://doi.org/10.1101/2020.03.22.20040758), Int'l Journal of Antimicrobial Agents (https://doi.org/10.1016/j.ijantimicag.2020.105949), medRxiv (ChiCTR2000029559) (https://doi.org/10.1101/2020.04.10.20060558), medRxiv (https://doi.org/10.1101/2020.03.22.20040949), medRxiv (https://doi.org/10.1101/2020.04.02.20047050), medRxiv (https://doi.org/10.1101/2020.03.31.20048777), medRxiv (https://doi.org/10.1101/2020.03.24.20042366), medRxiv (NCT04323527) (https://doi.org/10.1101/2020.04.07.20056424), medRxiv (https://doi.org/10.1101/2020.04.08.20057539), medRxiv (https://doi.org/10.1101/2020.04.08.20054551), ScienceDirect (https://www.sciencedirect.com/science/article/pii/S0399077X20300858?via%3Dihub), ISAC (https://www.isac.world/news-and-publications/official-isac-statement), ScienceDirect (https://www.sciencedirect.com/science/article/pii/S0924857920300996), medRxiv (https://doi.org/10.1101/2020.04.10.20060699), medRxiv (ChiCTR2000029868) (https://doi.org/10.1101/2020.04.10.20060558), medRxiv (https://doi.org/10.1101/2020.04.14.20065276), medRxiv (https://doi.org/10.1101/2020.04.16.20065920), medRxiv (https://doi.org/10.1101/2020.04.16.20068205), medRxiv (https://doi.org/10.1101/2020.04.22.20075671), medRxiv (https://doi.org/10.1101/2020.04.21.20066761), medRxiv (https://doi.org/10.1101/2020.04.26.20081059), medRxiv (https://doi.org/10.1101/2020.04.27.20082180), medRxiv (https://doi.org/10.1101/2020.04.27.20073379), medRxiv (https://doi.org/10.1101/2020.04.27.20074583), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2012410), medRxiv (https://doi.org/10.1101/2020.05.02.20080036), medRxiv (https://doi.org/10.1101/2020.05.02.20088872), JAMA (https://jamanetwork.com/journals/jama/fullarticle/2766117), medRxiv (https://doi.org/10.1101/2020.05.07.20093831), medRxiv (https://doi.org/10.1101/2020.05.07.20094326), medRxiv (https://doi.org/10.1101/2020.05.05.20088757), BMJ (https://www.bmj.com/content/369/bmj.m1849), BMJ (https://www.bmj.com/content/369/bmj.m1844), medRxiv (https://doi.org/10.1101/2020.05.14.20101774), medRxiv (https://doi.org/10.1101/2020.05.12.20099028), medRxiv (https://doi.org/10.1101/2020.05.13.20094193), The Lancet (retracted) (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31180-6/fulltext), Lancet correction (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31249-6/fulltext), Lancet concern (https://www.thelancet.com/journals/lanpub/article/PIIS0140-6736(20)31290-3/fulltext), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2016638), Lancet retraction (https://www.thelancet.com/lancet/article/s0140673620313246), medRxiv (https://doi.org/10.1101/2020.05.18.20066902), medRxiv (https://doi.org/10.1101/2020.05.21.20109207), medRxiv (https://doi.org/10.1101/2020.06.11.20126359), medRxiv (https://doi.org/10.1101/2020.06.05.20123299), medRxiv (https://doi.org/10.1101/2020.06.05.20122705), medRxiv (https://doi.org/10.1101/2020.06.09.20116806), medRxiv (https://doi.org/10.1101/2020.06.10.20101105), medRxiv (https://doi.org/10.1101/2020.06.03.20121558), medRxiv (https://doi.org/10.1101/2020.05.27.20114066), medRxiv (https://doi.org/10.1101/2020.05.28.20114835), medRxiv (https://doi.org/10.1101/2020.06.01.20118901), medRxiv (https://doi.org/10.1101/2020.05.28.20115741), medRxiv (https://doi.org/10.1101/2020.05.19.20106906), medRxiv (https://doi.org/10.1101/2020.06.15.20132407), medRxiv (https://doi.org/10.1101/2020.06.16.20132597), medRxiv (https://doi.org/10.1101/2020.06.17.20133884), medRxiv (https://doi.org/10.1101/2020.06.16.20133066), medRxiv (https://doi.org/10.1101/2020.06.16.20132878), J of Critical Care (https://doi.org/10.1016/j.jcrc.2020.03.005), medRxiv (https://doi.org/10.1101/2020.06.19.20136093), medRxiv (https://doi.org/10.1101/2020.06.19.20135475), medRxiv (https://doi.org/10.1101/2020.06.23.20137992), medRxiv (https://doi.org/10.1101/2020.06.26.20056507), medRxiv (https://doi.org/10.1101/2020.06.24.20139386), WHO (https://www.who.int/news-room/detail/04-07-2020-who-discontinues-hydroxychloroquine-and-lopinavir-ritonavir-treatment-arms-for-covid-19), It'l J Infectious Disease (ttps://doi.org/10.1016/j.ijid.2020.06.099)",,"FDA-approved since 1949, approved to treat malaria (chloroquine), FDA-approved since at least 1955, approved to treat malaria, rheumatoid arthritis, and lupus (hydroxychloroquine)",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Aarhus University,Treatment,Other,Clinical,Phase II trial ongoing July 2020,senicapoc,EudraCT 2020-001420-34,The Danish Government,,Sickle cell anemia; Alzheimer's disease,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
Biohaven/ Thomas Jefferson University,Treatment,Other,Clinical,Phase II/III recruiting July 2020,"vazegepant, CGRP receptor antagonist",NCT04346615,Unknown,,Acute migraine,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
University of British Columbia/Apeiron Biologics,Treatment,Other,Clinical,Phase II began in April 2020,APN01; recombinant soluble human Angiotensin Converting Enzyme 2,,Austrian Government,,"Acute lung injury, Acute respiratory distress syndrome, Pulmonary arterial hypertension",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Quotient Sciences/ CytoAgents,Treatment,Other,Pre-clinical,Phase I/II to start in 2020,"GP1681, small molecule inhibitor of cytokine release",,Richard King Mellon Foundation,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Noveome Biotherapeutics/ Singota Solutions,Treatment,Other,Clinical,Phase I/II to start in Q4 2020,"ST266, cell-free biologic made from anti-inflammatory proteins secreted by placental cells",,Commonwealth of Pennsylvania,,Multiple ophthalmic indications,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
BioAegis Therapeutics Inc.,Treatment,Other,Clinical,Phase II trial not yet recruiting July 2020,recombinant human plasma gelsolin (rhu-pGSN),NCT04358406,Unknown,,Community-acquired pneumonia,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
CTI Biopharma,Treatment,Other,Clinical,"Phase III trial recruiting July 2020, results expected by the end of 2020","pacritinib, oral kinase inhibitor with specificity for JAK2, IRAK1 and CSFIR",NCT04404361,Unknown,,Myelofibrosis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
Pharming,Treatment,Other,Clinical,Phase II trial not yet recruiting July 2020; compassionate use,Ruconest (recombinant human C1 esterase inhibitor),NCT04414631,Unknown,Pharming (https://www.pharming.com/sites/default/files/imce/Press%20releases/Ruconest%20Covid%20compassionate%20use%2021%20April%202020.pdf),,"FDA-approved since 2014, approved to treat hereditary angioedema",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
Algernon Pharmaceuticals,Treatment,Other,Pre-clinical,Unknown,"Cerocal (ifenprodil), NP-120, an NDMA receptor glutamate receptor antagonist targeting Glu2NB",,Unknown,,Idiopathic Pulmonary Fibrosis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"Eiger BioPharmaceuticals, Inc.",Treatment,Other,Clinical,Phase II began in April 2020,Peginterferon lambda,NCT04331899,Unknown,,Hepatitis Delta,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Feinstein Institutes for Medical Research at Northwell Health/ Alchem,Treatment,Other,Clinical,Phase II study underway in April 2020,"Pepcid (famotidine), histamine-2 (H2) receptor antagonist","NCT04389567, NCT04370262",Unknown,"medRxiv (https://doi.org/10.1101/2020.05.01.20086694), Gastroenterology (10.1053/j.gastro.2020.05.053)",,"FDA-approved since 1986, approved to treat ulcers, gastroesophageal reflux disease, erosive esophagitis, pathological hypersecretory conditions, and to reduce the risk of duodenal ulcer recurrence",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
"Multiple global research sponsors
",Treatment,Other,Clinical,Unknown,"heparin; low molecular weight heparin (enoxaparin), anticoagulant
","NCT04366960, NCT04360824, NCT04359277, NCT04354155, NCT04367831, NCT04345848, NCT04373707, NCT04372589, NCT04362085, NCT04344756, NCT04408235, NCT04406389, NCT04400799, NCT04377997, NCT04393805, NCT04427098",Unknown,"medRxiv (https://doi.org/10.1101/2020.03.28.20046144), medRxiv (https://doi.org/10.1101/2020.04.15.20067017), medRxiv (https://doi.org/10.1101/2020.04.23.20076851), JACC (http://www.onlinejacc.org/content/early/2020/05/05/j.jacc.2020.05.001?_ga=2.52741547.2046438614.1588863110-2104341714.1587686709), medRxiv (https://doi.org/10.1101/2020.05.27.20114694), J. Thrombosis and Thrombolysis (doi: 10.1007/s11239-020-02162-z), medRxiv (https://doi.org/10.1101/2020.06.22.20134957)",,"FDA-approved since at least 1993, approved to prevent blood clots and prevent/treat venous thromboembolism and myocardial infarction",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Pfizer; other global research sponsors,Treatment,Other,Clinical,Pfizer and other Phase II trial not yet recruiting July 2020,"Xeljanz (tofacitinib), Janus kinase (JAK) inhibitor","NCT04332042, NCT04415151, NCT04390061, NCT04412252",Unknown,,,"FDA-approved since 2012, approved to treat rheumatoid arthritis, psoriatic arthritis, and ulcerative colitis",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Karyopharm Therapeutics,Treatment,Other,Clinical,Phase II trial ongoing July 2020,"Xpovio (selinexor), oral, selective inhibitor of nuclear export (SINE) compound","NCT04355676, NCT04349098",Unknown,,Treat various cancers,"FDA-approved since 2019, approved to treat multiple myeloma",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
pHbarrier,Treatment,Other,Pre-clinical,Unknown,"pH barrier, transepithelial nebulized alkaline treatment",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/30/2020
Washington University School of Medicine in St. Louis,Treatment,Other,Clinical,Phase II trial recruiting May 2020,"Luvox (fluvoxamine), a selective serotonin reuptake inhibitor",NCT04342663,Unknown,,,"FDA-approved since 1994, approved to treat obsessive compulsive disorder",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/14/2020
University of Hawaii (Boehringer Ingelheim),Treatment,Other,Clinical,Phase II not yet recruiting as of April 2020,Micardis (telmisartan),NCT04360551,Unknown,,,"FDA-approved since 1998, approved to treat hypertension and reduce cardiovascular risk in patients unable to take ACE inhibitors",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/27/2020
Insmed Inc.,Treatment,Other,Clinical,Phase II study to begin enrollment in May 2020,"brensocatib, oral, reversible inhibitor of dipeptidyl peptidase 1 (DPP1)",EudraCT 2020-001643-13,Unknown,,Bronchiectasis and other inflammatory diseases,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
"Hu'nan Haiyao hongxingtang Pharmaceutical Co., Ltd (Novaferon) 
",Treatment,Other,Clinical,Unknown,"Novaferon, Nova, interferon, licensed in China for Hepatitis B","ChiCTR2000029573       

ChiCTR2000029496",Unknown,medRxiv (https://doi.org/10.1101/2020.04.24.20077735),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/7/2020
"RedHill Biopharma/ NIAID
",Treatment,Other,Clinical,Unknown,"RHB-107 (upamostat, WX-671), serine protease inhibitor",,Unknown,,"Various oncology indications
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/8/2020
Union Therapeutics/ Institute Pasteur Korea/ Daewoong Therapeutics; First Wave Bio ,Treatment,Other,Clinical,"Danish Medicines Agency approved a Phase I trial July 2020 (UN9011, Union Therapeutics); Daewoong to apply for Phase I trial in Korea in July 2020","UNI9011 (Union Therapeutics), FW-1022 (First Wave Bio), DWRX2003 (Daewoong) niclosamide","NCT04345419, NCT04399356, NCT04436458",Unknown,,Atopic Dermatitis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/7/2020
University of Alabama at Birmingham,Treatment,Other,Clinical,Phase II not yet recruiting May 2020,"Lysteda/Cyklokapron (tranexamic acid), an antifibrinolytic","NCT04338074

NCT04338126",Unknown,,,"FDA-approved since 1986, approved to treat cyclic heavy menstrual bleeding",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/13/2020
Pulmotect,Treatment,Other,Clinical,Phase II trials recruiting July 2020,PUL-042 inhalation solution,"NCT04312997, NCT04313023",Unknown,,Prevent and treat respiratory complications in immunosuppressed cancer patients,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Abivax,Treatment,Other,Clinical,"Phase IIb/III trial started July 2020, top line results expected in 2020",ABX464 ,NCT04393038,Bpifrance,,"Ulcerative colitis; rheumatoid arthritis; hepatocellular carcinoma
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
Exvastat Ltd / Global sponsors,Treatment,Other,Clinical,Phase II and Phase III trials recruiting July 2020,"Gleevac (imatinib), kinase inhibitor","NCT04346147, NCT04357613, NCT04356495, NCT04422678, NCT04394416",Innovative Medicines Initiative,,,"FDA-approved since 2001, approved to treat various cancers",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
Faron Pharmaceuticals / REMAP-CAP global trial / WHO SOLIDARITY trial/ various global researchers,Treatment,Other,Clinical,Results from various trials released June 2020; REMAP-CAP trial recruiting May 2020 ,Traumakine (interferon beta 1-a),"NCT02735707, IRCT20100228003449N28, NCT04350671, NCT04343768, NCT04315948",Unknown,medRxiv (https://doi.org/10.1101/2020.05.28.20116467),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
Noxopharm,Treatment,Other,Clinical,Phase I to begin in June 2020,Veyonda (idronoxil),,Unknown,,Prostate cancer,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/26/2020
AstraZeneca/ Saint Luke's Mid America Heart Institute; Cambridge University Hospitals NHS Foundation Trust,Treatment,Other,Clinical,Phase III study started in April 2020 (AstraZeneca),"Farxiga (dapagliflozin), sodium-glucose cotransporter 2 (SGLTs) inhibitor","NCT04350593, NCT04393246",Unknown,,Heart failure; Chronic kidney disease,"FDA-approved since 2014, approved to improve glycemic controls in adults with type 2 diabetes and reduce the risk of hospitalization for heart failure in adults with type 2 diabetes",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
The First Affiliated Hospital of Fujian Medical University/Novartis,Treatment,Other,Clinical,Phase II trial recruiting May 2020,"Gilenya (fingolimod), sphingosine 1-phosphate receptor modulator",NCT04280588,Unknown,,,"FDA-approved since 2010, approved to treat multiple sclerosis",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/7/2020
BioIncept,Treatment,Other,Pre-clinical,Preparing for a Phase I/IIa trial in May 2020,"sPIF (synthetic pre implantation factor)
",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/20/2020
Synairgen / University of Southampton,Treatment,Other,Clinical,Phase II began in March 2020; Initial results expected by end of June 2020,"SNG001, inhaled formulation of interferon beta-1a",NCT04385095,Unknown,,Asthma patients with cold or flu infection; COPD patients with viral infections,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
Numerous trials with research sponsors globally; University of Oxford RECOVERY trial; REMAP-CAP global trial; Covis Pharma B.V.,Treatment,Other,Clinical,RECOVERY trial results released (dexamethasone) June 2020,Methylprednisolone/ ciclesonide (Alvesco)/ hydrocortisone/ corticosteroids,"NCT04244591, NCT04263402, NCT04273321, ChiCTR2000029656, ChiCTR2000029386, NCT02735707, NCT04330586, 2020-001113-21, NCT04345445, NCT04349410, NCT04329650",UK Government (University of Oxford RECOVERY trial),"medRxiv (https://doi.org/10.1101/2020.03.06.20032342), medRxiv (https://doi.org/10.1101/2020.03.28.20045955), medRxiv (https://doi.org/10.1101/2020.04.07.20056390), medRxiv (https://doi.org/10.1101/2020.04.17.20064469), medRxiv (https://doi.org/10.1101/2020.04.17.20069773), medRxiv (https://doi.org/10.1101/2020.04.21.20066258), medRxiv (https://doi.org/10.1101/2020.05.04.20074609), medRxiv (https://doi.org/10.1101/2020.05.08.20094755), medRxiv (https://doi.org/10.1101/2020.05.11.20097709), medRxiv (https://doi.org/10.1101/2020.05.22.20110544), (http://www.ox.ac.uk/news/2020-06-16-low-cost-dexamethasone-reduces-death-one-third-hospitalised-patients-severe), medRxiv (https://doi.org/10.1101/2020.06.15.20132407), medRxiv (https://doi.org/10.1101/2020.06.17.20133579), medRxiv (https://doi.org/10.1101/2020.06.17.20134031), medRxiv (https://doi.org/10.1101/2020.06.19.20135491), medRxiv (https://doi.org/10.1101/2020.06.22.201372730), medRxiv (https://doi.org/10.1101/2020.06.23.20137471), medRxiv (https://doi.org/10.1101/2020.06.19.20109173), medRxiv (https://doi.org/10.1101/2020.06.22.20137273), medRxiv (https://doi.org/10.1101/2020.06.22.20134957), medRxiv (https://doi.org/10.1101/2020.06.22.20133413)",,"FDA-approved since at least the 1950s, approved to treat many diseases, including anti-iflammatory conditions and some cancers; asthma (ciclesconide)",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
National Institute of Allergy and Infectious Disease (NIAID)'s Adaptive COVID-19 Treatment Trial; Nova Scotia Health Authority; Hospital of Prato; University of Colorado (Eli Lilly),Treatment,Other,Clinical,Eli Lilly Phase III trial started June 2020; NIAID trial remdesivir + baricitinib recruiting May 2020,"Olumiant (baricitinib), Janus kinase (JAK) inhibitor","NCT04321993, NCT04320277, NCT04340232, NCT04280705, NCT04345289, NCT04346147, NCT04358614, NCT04373044, NCT04438629, NCT04421027, NCT04362943, NCT04393051, NCT04401579, NCT04390464, NCT04399798, NCT04365764",Unknown,medRxiv (https://doi.org/10.1101/2020.06.26.20135319),,"FDA-approved since 2018, approved to treat rheumatoid arthritis",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
Numerous research sponsors globally,Treatment,Other,Clinical,Phase II recruiting July 2020; Individual patient expanded access ,"dipyridamole (Persantine), anticoagulant","NCT04424901, NCT04391179, NCT04410328",Unknown,"medRxiv (https://doi.org/10.1101/2020.02.27.20027557), Acta Pharm Sin B (https://doi.org/10.1016/j.apsb.2020.04.008)",,"FDA-approved since 1961, approved to prevent postoperative thromboembolic complications of cardiac valve replacement",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Applied Therapeutics / numerous New York City hospitals,Treatment,Other,Clinical,Phase II recruiting July 2020; Individual patient expanded access,"AT-001, aldose reductase inhibitor",NCT04365699,Unknown,,Diabetic cardiomyopathy,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
"Amarin
  Corp",Treatment,Other,Clinical,Unknown,"Vascepa (icosapent ethyl), a form of eicosapentaenoic acid",NCT04412018,Unknown,,,"FDA approved since 2012, approved to reduce the risk of myocardial infarction, stroke, coronary revascularization, and unstable angina, and reduce triglyceride levels in patients with severe hypertriglyceridemia",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/7/2020
"Orpheris
  (Ashvattha Therapeutics)",Treatment,Other,Clinical,FDA agreed to Phase II June 2020,"OP-101, dendrimer-based therapy",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/2/2020
Resverlogix,Treatment,Other,Clinical,Unknown,"apabetalone (RVX-208), selective BET (bromodomain and extra-terminal) inhibitor",,Unknown,,Treat various conditions ,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/2/2020
King's College London,Treatment,Other,Clinical,Phase IV trial recruiting in June 2020,Flarin (lipid ibuprofen),NCT04334629,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/4/2020
"Various researchers globally, including University of Oxford",Treatment,Other,Clinical,Unknown,almitrine,"NCT04357457, NCT04380727",LifeArc (University of Oxford trial),,Various lung diseases including Acute Respiratory Distress Syndrome (ARDS),N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/5/2020
Vicore Pharma,Treatment,Other,Clinical,Unknown,"VP01, Angiotensin II Type 2 receptor activator ",,Life Arc ,,Pulmonary fibrosis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/5/2020
